Topic,Count,Name,Representation,Representative_Docs
-1,269,-1_student_loan_student loan_got,"['student', 'loan', 'student loan', 'got', 'fake', 'support', 'free', 'just', 'voicemail', 'apple']","['student loan scam so i got a voicemail from sarah the message is as follows hi my name is sarah i ve been trying to reach you regarding your federal student loans your loan has been flagged for forgiveness approval which could eli', 'student loan scam just got a voicemail from julie with student loan enrollment program the message is as follows hi i m julie with the student loan enrollment program i wanted to contact you regarding the class action lawsuit agains', 'student loan scam just got a voicemail from julie with student loan enrollment program the message is as follows hi i m julie with the student loan enrollment program i wanted to contact you regarding the class action lawsuit agains']"
0,92,0_social_social security_security_administration,"['social', 'social security', 'security', 'administration', 'security administration', 'social security administration', 'phone', 'ssa', 'alert nomorobo', 'phone alert']","['ssa scam phone scam alert nomorobo hi this message is intended for you from the social security administration we have received a legal complaint under your social security number and your drive', 'ssa scam phone scam alert nomorobo hi this message is intended for you from social security administration we have received a legal complaint under your social security number and your driver s', 'ssa scam phone scam alert nomorobo hi this message is intended for you from social security administration we have received a legal complaint under your social security number and your driver s']"
1,78,1_refund_fake refund_refund refund_microsoft refund,"['refund', 'fake refund', 'refund refund', 'microsoft refund', 'department', 'fake', 'voicemail', 'called', 'account', 'support']","['more refund scammers', 'refund scam', 'refund scam']"
2,77,2_ssa_ssa ssa_indian_fake,"['ssa', 'ssa ssa', 'indian', 'fake', 'ms', 'ssa indian', 'ssa ssa ssa', 'indian fake', 'dea', 'fake ssa']","['ssa scam', 'ssa scam 12 18 19', 'ssa scam a ssa scam']"
3,76,3_microsoft popup_popup_appears working_appears,"['microsoft popup', 'popup', 'appears working', 'appears', 'techsupport center', 'working indian', 'indian techsupport center', 'working indian techsupport', 'appears working indian', 'indian techsupport']","['microsoft popup scam link appears to be a working number of an indian tech_support call center', 'microsoft popup scam link appears to be a working number of an indian tech_support call center microsoft popup scam', 'microsoft popup scam link appears to be a working number of an indian tech_support call center']"
4,53,4_fake microsoft_fake microsoft pop_microsoft pop_pop,"['fake microsoft', 'fake microsoft pop', 'microsoft pop', 'pop', 'fake', 'microsoft', 'pop fake', 'microsoft pop fake', 'pop fake microsoft', 'pop url']","['fake microsoft pop up url fake microsoft pop up', 'fake microsoft pop up url fake microsoft pop up', 'fake microsoft pop up url fake microsoft pop up']"
5,51,5_money_bank_power_company,"['money', 'bank', 'power', 'company', 'scammed', 'apartment', 'guy', 'spoofed', 'yes', 'sent']","['one more bank acc info used by scammers in intense 419 scam here you go one more bank acc this scammer is quite optimistic in getting his money use this informztion how ever you like scum deserves hell and no less bank name barclays bank plc bank address acorn hous', 'coned unpaid balance power shutoff threat scam robo dialed from spoofed number claims to be coned and your power will be turned off in 30 minutes unless you call the scammers number and presumably give them money these evil jerks needs to be pounded the num', 'pg e unpaid balance power shutoff threat scam robodialed from spoofed number claims to be pg e and your power will be turned off in 30 minutes unless you call the scammers number and presumably give them money evil scammer needs to be pounded the number le']"
6,50,6_techsupport_techsupport techsupport_tech_active,"['techsupport', 'techsupport techsupport', 'tech', 'active', 'nginx', 'ha', 'india', 'techsupport techsupport techsupport', 'isoftwareshop', 'indian']","['fake mcafee support scammer from india geek kart com innovative sale vizpc com isoftwareshop com alphasaleweb com thanks my indian friend monis for his help i got these fro', 'heeeey yooooou guuuuuys ah ha ha nginx is often found as the server running that supplies these tech_support scam pages russian media group rambler attempting to hold nginx hostage ars technica i fin', 'heeeey youuuu guuuuys ah ha ha nginx is often found as the server running that supplies these tech_support scam pages russian media group rambler attempting to hold nginx hostage ars technica i fin']"
7,48,7_bobrtc_bob_calls_add,"['bobrtc', 'bob', 'calls', 'add', 'non', 'phonebook', 'work', 'available', 'uk', 'connect']","['bobrtc question i opened bobrtc today and i were no longer able to add numbers i ve got 39322xp now my question how long does an account need to exist to add numbers it s a bit sad that there are not so much numbers on bobrtc bu', 'bobrtc is moving to a new site this weekend dec 21 bobrtc tel bobrtc has thwarted yet another takedown attempt this time an attacker went after godaddy the registrar of bobrtc live by sending bupkis complaints a few months ago a lawyer was haggling godaddy trying to pry owner', 'limited non toll free dialing available again on bobrtc we have some non toll free dialing available again on bobrtc this outage was due to losing an agreement to deliver traffic the previous outage of ntf 4 weeks ago had everything to do with what numbers were being di']"
8,44,8_insurance_health_warranty_car,"['insurance', 'health', 'warranty', 'car', 'company', 'pills', 'health insurance', 'sell', 'keto', 'gohealth']","['high value insurance scam three automated messages from an issam hiring manager at family first life saying he got my application for a high value insurance policy on craigslist has been calling my desk phone at work and i don t use craigsli', 'health insurance scam', 'this is a shady car insurance company called protect my car offering free roadside assistance and 100 car maintenance coverage and insurance for 50 bucks a month plus a flexible down payment fee wh']"
9,42,9_microsoft_windows_microsoft support_support,"['microsoft', 'windows', 'microsoft support', 'support', 'computer', 'pc', 'microsoft techsupport', 'vm', 'tried', 'techsupport']","['microsoft tech_support scam 12 20 19', 'microsoft scammer fake microsoft support', 'microsoft support scam']"
10,39,10_popup_image_popup microsoft_microsoft popup microsoft,"['popup', 'image', 'popup microsoft', 'microsoft popup microsoft', 'png', 'popup microsoft popup', 'microsoft', 'microsoft popup', 'screenshot', 'image screenshot']","['microsoft popup scam link', 'dating app chat image screenshot 135517png png image screenshot 135526png png', 'romance scammer jean image screenshot 115148png png image screenshot 115156png png']"
11,33,11_size_adaross_size adaross_adaross replying,"['size', 'adaross', 'size adaross', 'adaross replying', 'finds', 'automatically automated finds', 'automated finds popups', 'automated finds', 'adaross site list', 'automatically automated']","['adaross scam site list 12 03 2019 size 15 messages here will be posted automatically as the automated system finds popups size b size 12 please do not adaross when replying size b', 'adaross scam site list 12 02 2019 size 15 messages here will be posted automatically as the automated system finds popups size b size 12 please do not adaross when replying size b', 'adaross scam site list 12 06 2019 size 15 messages here will be posted automatically as the automated system finds popups size b size 12 please do not adaross when replying size b']"
12,32,12_amazon_amazonprime_account_travel,"['amazon', 'amazonprime', 'account', 'travel', 'amazon account', 'robocaller', 'robocaller warning nomorobo', 'robocaller warning', 'warning nomorobo', 'won']","['amazon_prime fake robocall robocaller warning nomorobo from amazon to inform you that your amazon_prime account will be auto renewed for 249 00 from your bank account so enjoy using it as an acco', 'amazon purchase fake amazon purchase 99 robocaller warning nomorobo pay attention this is amazon_prime your amazon_prime it seems your amazon account misused somebody using your amazon account su', 'amazaon charge scam robocaller warning nomorobo call from amazon to inform you that your amazon_prime account will be auto renewed for 249 00 from your bank account so enjoy using it as an account or if y']"
13,31,13_ssa_hunting ssa_happy hunting ssa_hunting,"['ssa', 'hunting ssa', 'happy hunting ssa', 'hunting', 'happy hunting', 'happy', 'active', 'active happy', 'active happy hunting', 'easy target']","['ssa scam onvoy ssa scam onvoy scammers active happy hunting', 'ssa scam active scammer happy hunting', 'ssa scam active scammer happy hunting']"
